GROUP,DB_ID,FIELD_NO,PROJECT,CRUISE_ID,CONTACT,AREA,LATITUDE,LONGITUDE,DEPTH_M,T_DEPTH,B_DEPTH,DEVICE,MONTH_COLL,DAY_COLL,YEAR_COLL,MONTH_ANAL,DAY_ANAL,YEAR_ANAL,WEIGHT,GRAVEL_PCT,SAND_PCT,SILT_PCT,CLAY_PCT,CLASSIFICA,MEDIAN,MEAN,STDEV,SKEWNESS,KURTOSIS,MODE1CLASS,MODE1FREQ,MODE2CLASS,MODE2FREQ,MODE3CLASS,MODE3FREQ,NMODES,PHIm5,PHIm4,PHIm3,PHIm2,PHIm1,PHI_0,PHI_1,PHI_2,PHI_3,PHI_4,PHI_5,PHI_6,PHI_7,PHI_8,PHI_9,PHI_10,PHI_11,ANALYST,ANAL_COMM,LITHOLOGY,COMMENTS
3,AZ721,001,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.4107617,-70.8659017,24.5,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ722,002,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.4277183,-70.862745,29.1,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ723,003,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.43921,-70.88139,24.8,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ724,004,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.43872,-70.9071267,16.3,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ458,005,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.4525267,-70.8826867,21,0,2,InterOcean SEABOSS (Osprey Config),8,21,2012,11,28,2012,49.0653,0,91.16,6.13,2.69,SAND,3,3.23,1.36,1.44,10.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0.09,0.29,5.44,44.39,40.95,2.05,1.44,1.39,1.25,1.24,0.93,0.52,KMCMULLEN, , , 
3,AZ725,006,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.45913,-70.8680267,21.6,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ459,007,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.4468267,-70.85519,29.2,0,2,InterOcean SEABOSS (Osprey Config),8,21,2012,11,28,2012,46.8673,19.55,67.95,9.09,3.41,GRAVELLY SEDIMENT,2.61,2.06,2.9,-0.04,0.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,7.72,4.87,6.96,3.97,4.09,6.51,25.98,27.4,2.82,1.83,2.3,2.14,1.79,1.08,0.54,KMCMULLEN, , , 
3,AZ726,008,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.45537085,-70.84834,23.2,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ727,009,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.46637335,-70.8366183,23.9,-9999,-9999,InterOcean SEABOSS (Osprey Config),8,21,2012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,GRAVEL,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,SACKERMAN, , ,GRAVEL-VISUAL OBSERVATION
3,AZ460,010,COASTAL MASS,2012-035-FA,SACKERMAN,MASSBAY,42.47323,-70.8270017,27.7,0,2,InterOcean SEABOSS (Osprey Config),8,21,2012,11,28,2012,35.4957,0.17,82.72,12.49,4.62,SAND,3.2,3.62,1.72,0.97,3.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0.17,0.13,0.34,2.75,38.28,41.22,2.91,2.72,3.8,3.06,2.47,1.43,0.72,KMCMULLEN, , , 
